vnf_id,alu,stage,sram
271,1,1,32768
272,1,1,32768
273,1,1,32768
274,1,1,32768
275,1,1,32768
276,1,1,32768
277,1,1,32768
278,1,1,32768
279,1,1,32768
280,1,1,32768
281,1,1,32768
282,1,1,32768
283,1,1,32768
284,1,1,32768
285,1,1,32768
286,1,1,32768
287,1,1,32768
288,1,1,32768
289,1,1,32768
290,1,1,32768
291,1,1,32768
292,1,1,32768
293,1,1,32768
294,1,1,32768
295,1,1,32768
296,1,1,32768
297,1,1,32768
298,1,1,32768
299,1,1,32768
300,1,1,32768
301,1,1,32768
302,1,1,32768
303,1,1,32768
304,1,1,32768
305,1,1,32768
306,1,1,32768
307,1,1,32768
308,1,1,32768
309,1,1,32768
310,1,1,32768
311,1,1,32768
312,1,1,32768
313,1,1,32768
314,1,1,32768
315,1,1,32768
316,1,1,32768
317,1,1,32768
318,1,1,32768
319,1,1,32768
320,1,1,32768
321,1,1,32768
322,1,1,32768
323,1,1,32768
324,1,1,32768
325,1,1,32768
326,1,1,32768
327,1,1,32768
328,1,1,32768
329,1,1,32768
330,1,1,32768
331,1,1,32768
332,1,1,32768
333,1,1,32768
334,1,1,32768
335,1,1,32768
336,1,1,32768
337,1,1,32768
338,1,1,32768
339,1,1,32768
340,1,1,32768
341,1,1,32768
342,1,1,32768
343,1,1,32768
344,1,1,32768
345,1,1,32768
346,1,1,32768
347,1,1,32768
348,1,1,32768
349,1,1,32768
350,1,1,32768
351,1,1,32768
352,1,1,32768
353,1,1,32768
354,1,1,32768
355,1,1,32768
356,1,1,32768
357,1,1,32768
358,1,1,32768
359,1,1,32768
360,1,1,32768
361,1,1,32768
362,1,1,32768
363,1,1,32768
364,1,1,32768
365,1,1,32768
366,1,1,32768
367,1,1,32768
368,1,1,32768
369,1,1,32768
370,1,1,32768
371,1,1,32768
372,1,1,32768
373,1,1,32768
374,1,1,32768
375,1,1,32768
376,1,1,32768
377,1,1,32768
378,1,1,32768
379,1,1,32768
380,1,1,32768
381,1,1,32768
382,1,1,32768
383,1,1,32768
384,1,1,32768
385,1,1,32768
386,1,1,32768
387,1,1,32768
388,1,1,32768
389,1,1,32768
390,1,1,32768
391,1,1,32768
392,1,1,32768
393,1,1,32768
394,1,1,32768
395,1,1,32768
396,1,1,32768
397,1,1,32768
398,1,1,32768
399,1,1,32768
400,1,1,32768
401,1,1,32768
402,1,1,32768
403,1,1,32768
404,1,1,32768
405,1,1,32768
406,1,1,32768
407,1,1,32768
408,1,1,32768
409,1,1,32768
410,1,1,32768
411,1,1,32768
412,1,1,32768
413,1,1,32768
414,1,1,32768
415,1,1,32768
416,1,1,32768
417,1,1,32768
418,1,1,32768
419,1,1,32768
420,1,1,32768
421,1,1,32768
422,1,1,32768
423,1,1,32768
424,1,1,32768
425,1,1,32768
426,1,1,32768
427,1,1,32768
428,1,1,32768
429,1,1,32768
430,1,1,32768
431,1,1,32768
432,1,1,32768
433,1,1,32768
434,1,1,32768
435,1,1,32768
436,1,1,32768
437,1,1,32768
438,1,1,32768
439,1,1,32768
440,1,1,32768
441,1,1,32768
442,1,1,32768
443,1,1,32768
444,1,1,32768
445,1,1,32768
446,1,1,32768
447,1,1,32768
448,1,1,32768
449,1,1,32768
450,1,1,32768
451,1,1,32768
452,1,1,32768
